| epoch   0 |     1/   17 batches |ms/batch 7207.12 |avg loss 4510.65
| epoch   0 |     2/   17 batches |ms/batch 3500.21 |avg loss 2521.24
| epoch   0 |     3/   17 batches |ms/batch 3657.45 |avg loss 2669.26
| epoch   0 |     4/   17 batches |ms/batch 3825.54 |avg loss 2936.79
| epoch   0 |     5/   17 batches |ms/batch 4351.01 |avg loss 2776.34
| epoch   0 |     6/   17 batches |ms/batch 3232.39 |avg loss 2508.49
| epoch   0 |     7/   17 batches |ms/batch 4084.88 |avg loss 2379.36
| epoch   0 |     8/   17 batches |ms/batch 3509.72 |avg loss 1939.99
| epoch   0 |     9/   17 batches |ms/batch 2697.11 |avg loss 1649.02
| epoch   0 |    10/   17 batches |ms/batch 2996.88 |avg loss 1385.86
| epoch   0 |    11/   17 batches |ms/batch 2916.49 |avg loss 1283.59
| epoch   0 |    12/   17 batches |ms/batch 2962.41 |avg loss 1326.94
| epoch   0 |    13/   17 batches |ms/batch 3068.11 |avg loss 1395.31
| epoch   0 |    14/   17 batches |ms/batch 2547.70 |avg loss 1477.39
| epoch   0 |    15/   17 batches |ms/batch 2992.46 |avg loss 1435.99
| epoch   0 |    16/   17 batches |ms/batch 3014.54 |avg loss 1532.32
| epoch   1 |     1/   17 batches |ms/batch 6818.71 |avg loss 4467.58
| epoch   1 |     2/   17 batches |ms/batch 3950.37 |avg loss 2402.30
| epoch   1 |     3/   17 batches |ms/batch 3701.05 |avg loss 2483.06
| epoch   1 |     4/   17 batches |ms/batch 3893.75 |avg loss 2794.88
| epoch   1 |     5/   17 batches |ms/batch 3881.99 |avg loss 2599.97
| epoch   1 |     6/   17 batches |ms/batch 3708.42 |avg loss 2373.56
| epoch   1 |     7/   17 batches |ms/batch 3589.39 |avg loss 2252.75
| epoch   1 |     8/   17 batches |ms/batch 3393.44 |avg loss 1860.58
| epoch   1 |     9/   17 batches |ms/batch 3187.89 |avg loss 1582.91
| epoch   1 |    10/   17 batches |ms/batch 3057.80 |avg loss 1328.39
| epoch   1 |    11/   17 batches |ms/batch 2989.41 |avg loss 1235.98
| epoch   1 |    12/   17 batches |ms/batch 2522.54 |avg loss 1283.46
| epoch   1 |    13/   17 batches |ms/batch 2985.05 |avg loss 1353.21
| epoch   1 |    14/   17 batches |ms/batch 3070.70 |avg loss 1460.35
| epoch   1 |    15/   17 batches |ms/batch 3099.42 |avg loss 1451.00
| epoch   1 |    16/   17 batches |ms/batch 2607.45 |avg loss 1561.58
| epoch   2 |     1/   17 batches |ms/batch 6855.89 |avg loss 4405.15
