| epoch   0 |     1/   17 batches |ms/batch 7257.83 |avg loss 65.02
| epoch   0 |     2/   17 batches |ms/batch 3533.67 |avg loss 427.76
| epoch   0 |     3/   17 batches |ms/batch 3680.67 |avg loss 119.72
| epoch   0 |     4/   17 batches |ms/batch 3835.83 |avg loss 39.70
| epoch   0 |     5/   17 batches |ms/batch 4371.57 |avg loss 62.00
| epoch   0 |     6/   17 batches |ms/batch 3245.56 |avg loss 35.51
| epoch   0 |     7/   17 batches |ms/batch 4104.09 |avg loss 41.99
| epoch   0 |     8/   17 batches |ms/batch 3525.88 |avg loss 35.63
| epoch   0 |     9/   17 batches |ms/batch 2712.92 |avg loss 31.29
| epoch   0 |    10/   17 batches |ms/batch 3019.40 |avg loss 31.03
| epoch   0 |    11/   17 batches |ms/batch 2943.53 |avg loss 34.27
| epoch   0 |    12/   17 batches |ms/batch 2986.61 |avg loss 23.87
| epoch   0 |    13/   17 batches |ms/batch 3089.70 |avg loss 22.87
| epoch   0 |    14/   17 batches |ms/batch 2555.47 |avg loss 17.29
| epoch   0 |    15/   17 batches |ms/batch 3007.60 |avg loss 32.22
| epoch   0 |    16/   17 batches |ms/batch 3034.90 |avg loss 22.40
| epoch   1 |     1/   17 batches |ms/batch 6856.32 |avg loss 45.74
| epoch   1 |     2/   17 batches |ms/batch 3973.31 |avg loss 25.59
| epoch   1 |     3/   17 batches |ms/batch 3730.98 |avg loss 30.91
| epoch   1 |     4/   17 batches |ms/batch 3913.26 |avg loss 18.56
| epoch   1 |     5/   17 batches |ms/batch 3907.64 |avg loss 25.40
| epoch   1 |     6/   17 batches |ms/batch 3740.21 |avg loss 14.62
| epoch   1 |     7/   17 batches |ms/batch 3607.48 |avg loss 20.46
| epoch   1 |     8/   17 batches |ms/batch 3413.37 |avg loss 15.88
| epoch   1 |     9/   17 batches |ms/batch 3214.30 |avg loss 15.30
| epoch   1 |    10/   17 batches |ms/batch 3063.92 |avg loss 16.60
| epoch   1 |    11/   17 batches |ms/batch 3005.50 |avg loss 13.52
| epoch   1 |    12/   17 batches |ms/batch 2547.86 |avg loss 12.38
| epoch   1 |    13/   17 batches |ms/batch 2993.77 |avg loss 18.10
| epoch   1 |    14/   17 batches |ms/batch 3084.90 |avg loss 11.32
| epoch   1 |    15/   17 batches |ms/batch 3127.50 |avg loss 11.20
| epoch   1 |    16/   17 batches |ms/batch 2625.78 |avg loss 23.10
| epoch   2 |     1/   17 batches |ms/batch 6888.02 |avg loss 28.06
| epoch   2 |     2/   17 batches |ms/batch 3987.88 |avg loss 10.98
| epoch   2 |     3/   17 batches |ms/batch 3615.09 |avg loss  9.83
| epoch   2 |     4/   17 batches |ms/batch 3853.05 |avg loss  7.54
| epoch   2 |     5/   17 batches |ms/batch 3835.30 |avg loss  8.99
